Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
3.08,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.1,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.12,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.14,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.16,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.18,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.2,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.22,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.24,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.26,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.28,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.3,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.32,PlayerRed,0.009063721,-0.1010132,0,3,(0.0, 0.0),0,0,0,0,0
3.34,PlayerRed,0.009063721,-0.1010132,-1.318359E-05,3.000147,(0.0, 0.0),0,0,0,0,0
3.36,PlayerRed,0.009063721,-0.1010132,-3.835227E-05,3.000427,(0.0, 0.0),0,0,0,0,0
3.38,PlayerRed,0.009063721,-0.1010132,-7.441648E-05,3.000829,(0.0, 0.0),0,0,0,0,0
3.4,PlayerRed,0.009063721,-0.1010132,-0.0001203857,3.001342,(0.0, 0.0),0,0,0,0,0
3.42,PlayerRed,0.009063721,-0.1010132,-0.0001753595,3.001954,(0.0, 0.0),0,0,0,0,0
3.44,PlayerRed,0.009063721,-0.1010132,-0.0002385193,3.002658,(0.0, 0.0),0,0,0,0,0
3.46,PlayerRed,0.009063721,-0.1010132,-0.0003091209,3.003445,(0.0, 0.0),0,0,0,0,0
3.48,PlayerRed,0.009063721,-0.1010132,-0.0003864877,3.004307,(0.0, 0.0),0,0,0,0,0
3.5,PlayerRed,0.009063721,-0.1010132,-0.0004700048,3.005238,(0.0, 0.0),0,0,0,0,0
3.52,PlayerRed,0.009063721,-0.1010132,-0.000559113,3.006231,(0.0, 0.0),0,0,0,0,0
3.54,PlayerRed,0.009063721,-0.1010132,-0.000653304,3.007281,(0.0, 0.1),0,0,0,0,0
3.56,PlayerRed,0.009063721,-0.1010132,-0.0007521159,3.008382,(0.0, 0.1),0,0,0,0,0
3.58,PlayerRed,0.009063721,-0.1010132,-0.0008551283,3.00953,(0.0, 0.1),0,0,0,0,0
3.6,PlayerRed,0.009063721,-0.1010132,-0.0009619597,3.01072,(0.0, 0.1),0,0,0,0,0
3.62,PlayerRed,0.009063721,-0.1010132,-0.001072263,3.01195,(0.0, 0.1),0,0,0,0,0
3.64,PlayerRed,0.009063721,-0.1010132,-0.001185722,3.013214,(0.0, 0.1),0,0,0,0,0
3.66,PlayerRed,0.009063721,-0.1010132,-0.00130205,3.014511,(0.0, 0.1),0,0,0,0,0
3.68,PlayerRed,0.009063721,-0.1010132,-0.001420986,3.015836,(0.0, 0.1),0,0,0,0,0
3.7,PlayerRed,0.009063721,-0.1010132,-0.001542294,3.017188,(0.0, 0.1),0,0,0,0,0
3.72,PlayerRed,0.009063721,-0.1010132,-0.001665757,3.018564,(0.0, 0.1),0,0,0,0,0
3.74,PlayerRed,0.009063721,-0.1010132,-0.00179118,3.019962,(0.0, 0.1),0,0,0,0,0
3.76,PlayerRed,0.01385498,-0.09503174,-0.001918385,3.02138,(0.0, 0.1),0,0,0,0,0
