Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
3.06,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.08,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.1,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.12,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.14,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.16,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.18,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.2,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.22,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.24,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.26,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.28,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.3,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.32,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.34,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.36,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.38,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.4,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.42,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.44,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.46,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.48,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.5,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.52,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.54,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.56,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.58,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.6,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.62,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.64,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.66,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.68,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.7,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.72,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.74,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.76,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.78,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.8,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.82,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.84,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.86,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.88,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.9,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.92,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.94,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.96,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.98,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.02,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.04,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.06,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.08,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.1,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.12,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.14,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.16,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.18,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
4.2,PlayerBlue,-1.685518,4.474284,0,-3,(0.0, 0.0),0,0,0,0,0
4.22,PlayerBlue,-1.685518,4.474284,0.002451662,-3.006508,(0.1, -0.3),0,0,0,0,0
4.24,PlayerBlue,-1.685518,4.474284,0.007132109,-3.018933,(0.2, -0.6),0,0,0,0,0
4.26,PlayerBlue,-1.685518,4.474284,0.01383872,-3.036736,(0.3, -0.9),0,0,0,0,0
4.28,PlayerBlue,-1.685518,4.474284,0.02238731,-3.059428,(0.4, -1.1),0,0,0,0,0
4.3,PlayerBlue,-1.685518,4.474284,0.03261041,-3.086566,(0.5, -1.4),0,0,0,0,0
4.32,PlayerBlue,-1.685518,4.474284,0.0443558,-3.117745,(0.6, -1.6),0,0,0,0,0
4.34,PlayerBlue,-1.685518,4.474284,0.05748509,-3.152597,(0.7, -1.7),0,0,0,0,0
4.36,PlayerBlue,-1.685518,4.474284,0.07187247,-3.190789,(0.7, -1.9),0,0,0,0,0
4.38,PlayerBlue,-1.685518,4.474284,0.08740357,-3.232017,(0.8, -2.1),0,0,0,0,0
